id	texto	etiqueta	pais
772121014436302848	glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf JAJAJA 	N	es
771508327511683072	@avadadobreva ah wno no es que me pase nada es que cuando el Hype está tan alto y se habla tanto tengo la sensación de que ya la he visto 	NEU	es
771669847725834240	@crtkftauryn que no en serio 	NEU	es
770239405722374144	Me duele mucho la cabeza tio 	N	es
768497346342772737	@futbolero93 solo recuerda que Iman es tranquila 	P	es
768136915803660289	@Miraqbien podrías solidarizarte conmigo y no comer ninguno... 	NEU	es
767764285351202817	¿Algún día seré feliz por tener tu follow? @BlasAuryn 	N	es
768546051112443904	@David_Goen00 venga jimbre, lo que debes haver es hacerte cadista 	NEU	es
768547980924293120	@albueto @ferderer2 @TipsterApuesta los reyes magos son mas reales que este 	N	es
768530671132352513	@IvnLz el resto puedo dudar pero de ese grupo lo tengo claro 	NEU	es
770466250900340737	Tengo ganas de bronca estoy aburrido, proximo tweet abro el cajon de mierda 	N	es
769966461045571584	@Hectorfernandez @Alaves Pellegrino ha dotado al equipo una gran consistencia defensiva. Y buenos fichajes 	P	es
770607143158444032	@JorgeUfano ¡Muchas gracias por la respuesta! Cualquier cosa, aquí estamos para lo que necesites  ¡Saludos!	P	es
770942611997724672	Las horas que son y sigo sin ser capaz de ponerme a estudiar....el sueño puede conmigo 	N	es
770795402534715392	@anaamontull_ @IreneCarro_8 @MariloGarciaa6 con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli	P	es
771694556005924864	@Comunikaa2 me alegro mucho!! es importante darnos cuenta del gran valor que podemos aportar y encontrar nuestra misión 	P	es
768577563933413380	@valenciacf Mis sentimientos y mi orgullo por el Valencia son muy grandes. Yo quiero lo mejor para el Valencia. 	P	es
768463313801969664	@VioletaTrujillo yo me resigno con alguna gente, si se creen a este personaje es porque no están dispuestos a escuchar 	N	es
768575453410058240	@Graffitera23 qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos 	P	es
768496682082373632	@AlteaLaSueca en el debate que he estado leyendo, en el blog de Silvio @citaconsilvio lo pone el gran @feliuvicente citando al Che. 	NEU	es
768515769579823104	@ferdiazgil @FranDguez sí, lo he leído ese templo grande es el que he puesto en IG. Ha perdido su parte superior y está inaccesible	N	es
769985146405683200	Esperemos que todo empiece a tirar para arriba porque se necesita mucho para despegar un proyecto asi, y es el unico miedo que tengo 	N	es
770348223919718402	Me habría gustado hacer alguna de las de los Targaryen pero como están  en paradero desconocido pueh no hay imagenes buenas de ellas y 	N	es
771439744446234625	@jpablobece  la tengo que retomar... qué tal la segunda temporada? a @crevillo le ha flipado pero q opinas tú? que Carlos no es de fiar 	NEU	es
772240308226621440	cuando le dispararon en el brazo y le preguntaron por qué sonreía y dijo 'esto es el fin, ya no me puede pasar nada más' joder tio 	N	es
771859162196238336	Y lo que se sabe no se preguntan para el dolor de muchos no soy pita soy SCORT  no cobro dos lochas ni doy culo gratis como muchos.	N	es
771774697595924480	@LidiaWBlog que es un envidiosillo 	N	es
770737219074191360	en plan bonito  porque yo no	NEU	es
768562373472976896	@Eleder_ Que tampoco ahora mayoría absoluta, eh? 	NEU	es
767957176300306432	Buenos días @ainhoa_mallo  Y que podamos contarlo 	P	es
768029086807629824	@mrswxllace tres tristes trokistas pican piedra en un gulag 	N	es
768578741316583424	@Landspecies y sentimos empatia hacia cualquier ser vivo sin distinción 	P	es
768521914704887808	@MatiDiazWarrior @severinoiezzi @Maxisanchez06... ¡¡Nos sumamos a la felicitación a un grande!! 	P	es
768549166729555969	Madrid está lleno de comida y crushes, no me llevéis de aquí 	N	es
770633713822601216	@Defconplay de hecho lo confirmo, los caminos y las casitas son las mismas 	NEU	es
772539643720007680	Hola @TonyAguilarOfi nos gustaría escuchar #UnMinutoSinDolor nuevo single promocional de @DulceMaria en #40GlobalShow51 @40GlobalShow 	P	es
770874166182604800	@monzonete Cuando me borré Twitter, jeje, esta cuenta es nueva, aunque con el mismo nick 	NEU	es
770926989591056385	@manuelortegama4 se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos Más inf https://t.co/KQl89uDr3h	NEU	es
770929359611891712	@Realba74 @InterSerEd genial Rebeca !! Este era mi deseo al escribirlo. Seguiré escribiendo en esta linea práctica 	P	es
768213567418036224	"@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA"	N	es
768594628815839232	ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas - machirulo QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA	N	es
768498608870219776	@CrimsonGhost__ Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres 	N	es
768568209159184385	@ShawnUpdatesSA esta no es, le tienes que dar a US Store, solo se vende en US y Canadá  por ahora claro.	N	es
768529333493391360	@FaranduleroYo Pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +	N	es
767531452686893056	@BlasAuryn si es que no puedo olvidar cuando te viii, imposible. Que resumiendo, no te puedo olvidar  y no lo haré jamás chiqui	P	es
770026979047374849	"Chatel con mis primos le hicimos un funeral a una lora de la casa de mis abuelos, cantando una adaptación de ""Querida"". DEP Juanga "	N	es
769839243883638784	Rivera y Rajoy no han pactado que Nivea vuelva a lanzar pelotas de playa desde una avioneta, como cuando era pequeño. Nos vemos el 25D 	N	es
772438625594335232	Lo peor es que yo me marché cuando @olvihormigos se empezó a relacionar con la gente de la disco, yo quería tomarme una copita con ella 	N	es
773545957191540736	No estoy aburrida -Estás aburrida - No -Si,  reconocelo - Vale estoy aburrida de verte ver la tele -.. Por que haces esto? -Por que me abu+	N	es
772792232164360192	Últimamente estoy  y no me gusta estar  debería estar  pero no puedo estar  porque estoy  y eso me hace estar más  sabéis 	N	es
771499337834725376	Pos yo tambien estoy triste 	N	es
770602135968964608	en serio, tenéis que verosla ya 	NEU	es
768591189746548736	@SergioSmiles Mirate D gray-man desde cero puta 	N	es
767846757996847104	@landscps pues imaginate en una casa muy grande 	NEU	es
768020276353372160	@LetInNeverlxnd se nos queda pequeña, sólo 300 de aforo 	N	es
768535920450600960	@Lentejitas @Manuj_Hidalgo @lupesb77 convenciendo a mi hija mayor para verlo 	NEU	es
768545629522067456	Dio tener un perro es la ilusión de mi puta vida 	P	es
768528725545742336	Es worth para coger el bonus, pero es mucho más divertido luchar 	NEU	es
769734680748888064	que cansado me tenes albacete... que cansado!! sino vuelvo a rosario en verano........... ojo.	N	es
768221670255493120	Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps 	P	es
770915744980795392	@BenitoVGC el Sabueso es muy malo, el leñador mola Quiero minero y mago de hielo 	NEU	es
770888205822484480	Así leyendo entre líneas y el discurso de @sanchezcastejon igual vota que no a Rajoy. #InvestiduraOndaCero 	NEU	es
770902925736566784	No silencio lo que calla. Es la vida suspendida hasta que brotan las ganas de bailarla. #creatividad https://t.co/VXMZt8AVyJ	NEU	es
768228580673347584	Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar	N	es
768571461900591104	Tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga 	N	es
768478485702647809	El Espanyol interesado en Aktí Mel para reforzar su defensa esta temporada. Llegaría por 2 millones del L-Casei Imunitas griego 	NEU	es
768489417107443712	@vanderhast Jajajaja en cuanto salga de mi bucle infinito con la casa, me imprimo los mapas a dos y lo estreno!! 	P	es
768562234582851584	Por desgracia el sorteo que tenía pensado hacer es sólo para gente de Europa  Ya haré más sorteos para todo el mundo!	N	es
768071182587494401	@edortaramirez un click más, scroll y a veces el usuario se queda un poco colgado sin saber bien lo que tiene que hacer 	N	es
771082813777047552	Estoy muerto de hambre pero no puedo hacerme la cena todavía porque está mi compañero de piso cenando y no quiero cenar con él 	N	es
769615573164683264	@SumiEsB Yo también vi la peli y lloré lo que no está escrito  Ahora estoy leyendo el libro y me estoy echando unas risas impresionantes!	NEU	es
771432153376821248	Increíble pero cierto, hoy hay 2º vídeo en el 1º canal  poco a poco volvemos a la actividad, después de un descanso tengo muchas ganas 	P	es
773511775350325248	Este es el pla la clase de estadística acaba a las 20:20, la conferencia de Sony es a las 21:00. Hoy seré veloz en llegar a casa 	P	es
772808105243635712	Desde que he vuelto a mi casa se llevan todos bien porque cada vez que pasa algo me echan la culpa a mí y se quedan tan tranquilos 	P	es
771911253002452992	Apagado o fuera de cobertura 	NEU	es
770946988158382081	@Alex_Dieer ya ves eh, estaban amargados 	N	es
768592454601809920	Sólo quería hablar con gente en verda 	NEU	es
770384002733735936	@SlaveofJavier, experto en hacer reencuentros inolvidables since 1994 	P	es
768019941920473088	@sitgesfestival Genial!! Vendrá @RachelNichols1 ?? Saludos y buen día! 	P	es
768479078072606720	Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...	P	es
768591525773189120	Por qué me gusta más tu personalidad que cualquier espalda ancha 	P	es
768556112488587265	@unculemadrid si al final acabamos hablando un rato, era muy simpática  @jovigobi	P	es
770947417130885120	@Sr_Zeta hola vengo de intagram  en verdad ya te seguia pero hola igualmente	P	es
768221021300264964	Vale he visto la tia bebiendose su regla y me hs dado muchs grima 	N	es
770937557823721472	@CsCValenciana @Albert_Rivera Como mejor luchar contra la crisis, unidos o siempre enfrentados.  Lo tengo claro.	NEU	es
769813079597121536	@Swareles, ¡muchas gracias, Carla! De momento han caído tres, así que no empieza mal el día 	P	es
769766061126344704	Después de casi un mes entero sin él... puff, espero no echar temporadas tan largas sin verlo 	N	es
768064453246128128	@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!! 	P	es
768515256079482881	@AdriMarinaB Así me gusta, cada cosa a su CCAA. Así dejamos de cargar las culpas a nuestra querida nación. 	N	es
768493798049611776	@ManudeOrleans pues yo no hay manera, y eso que tengo recuerdo lejano y de stats tengo una media de 69-70 	N	es
768498804526055424	Hay una exposición de cuadros y uno de ellos está estropeandose por el agua del aire acondicionado que le cae encima 	N	es
768543848742150144	@Eduardo_Pers Ps que las exterminen. Por mi salud mental  (y pa que pueda dejar de hacer el ridículo por la calle jajajaj)	N	es
767759320083755008	"es que todos los que dicen que los que escuchamos a ""los gemeliers"" somos adolescentes de mierda son los primeros adolescentes de mierda "	N	es
770522970100031488	"Soy @EssieSenna. Este es mi número de teléfono finlandés. Ya puedes borrar el inglés. Y ""la abuela piensa"".. ""era una niña de 8 años"".. "	NEU	es
769615173141295104	He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta. 	N	es
771627153033080832	@UnaNeliaa neliásticos días, casi vecinos a 800 años luz?? Aún viajando a la vel de la luz se tardan 800 años lol está difícil para ir 	N	es
773524437245239296	@DLoyik pues ya no le quiero tanto, como dices en tu último vídeo es que no ha sido nada épico ni emotivo, esta vez me ha decepcionado 	N	es
772940864733777920	Me pongo al día con Re:zero en dos días y medio y ahora me dejan una semana intrigado por el final del capitulo. Esto no se hace eh 	N	es
772787607428329472	@LadyEternalSed son mucho más emotivos 	P	es
772026581724332033	la vida me tiene muy confundida 	N	es
768497668347850752	@Diego_FDM @el_pais La noticia perfecta para #NotasDelMisterio 	P	es
770322450735333376	@aberron Al final lo acabaremos pagando los consumidores 	N	es
768010762719821824	@hundredrooms @ohmyworld_es Qué chulada! Mola mucho el post, chicas! 	P	es
767473312087805952	tio os quiero mil a los que me habéis hablado 	P	es
768589770062753792	hay alguien apuntando a mi ventana con un laser define pesadito 	N	es
768579487986573316	"@przuppo @lolap245 me quedo con lo primer ""un pensamiento en un clic"" "	NEU	es
770910217999712256	@CatedraRSC_UAH Muchas gracias!! Feliz por haber formado parte de esta edición del Master! 	P	es
768224471127826432	@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que 	N	es
770921497439375361	@tooruskywalker no había casi nadie hablando del tema  (y tampoco puedo encontrar el vídeo, sad)	N	es
769633726254972928	BABY @BlasAuryn #FollowSpree. y la suerte de la semana pasada???  esto sería demasiado grande para mi.	N	es
769580324145754113	Tambien subire el changelog a lo largo de estos dias, estaros preparados porque viene todo de golpe! 	NEU	es
768062895053742080	@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos 	NEU	es
767756761025634304	@NuriStill @MartuBlackRed pues si eso haré.. y lo sigo haciendo  ya que haga lo que quiera. No pasa nada.	NEU	es
767692240437338112	@Sorayita_push Bien bien, si estan celebrando un cumpleaños, si todos nacieron el mismo dia hahahahahahha al menos son dos capítulos 	P	es
767699067182940160	Porque son tan manipulables los pequeños ? Y porque no ven a su padre igual que a su madre ? Triste 	N	es
768547709519294464	@iwanancho quiero un Linoone con Tambor y Velocidad Extrema pero es de esos especiales de generaciones pasadas que ya no se puede 	N	es
768109853919379456	@slcuervo no se valora el potencial del español como lengua informativa en internet, negocio que se le escapa entre los dedos a España. 	N	es
770520720099176448	@escolano y és una lastima porque tiene muy buenas ideas de diseño y al no pasar por Java rinden guay...pero MicroSoft y sus cosas 	N	es
769634567917633536	Somos los españoles cómplices de que gobierne el PP NO. Son sus cerca de 8 millones de votantes, de los más de 34 millones censados 	N	es
772889655100469250	Me quedan 2 capítulos de la sexta temporada de PLL, y no quiero acabarla porque sino hasta que doblen la 7 no podré ver nada más 	NEU	es
773274033152487424	que sí , que volvemos a la rutina , que se acabo lo bueno que ya lo sabemos todos , no hace falta que pongáis 100 snaps 	N	es
772918438863986688	no se por qué me mandas esto si ya sabes todo jaaaaa pero bueno que te echo de menos y  ojalá veas pronto a Álv y a los chicos	N	es
772957382926360576	en serio, te amo @LeoDiCaprio 	P	es
772055662339784704	@Caspitoo pero eso no es abstracto 	NEU	es
767692611129868288	@Garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos	N	es
770364464206151681	Sabía yo  qué triste nadie me hace caso	N	es
770381455428050944	@JohanaGonzalezD y mi pobre hija tragando, no es justo 	N	es
767729800664539138	@DiegoPajaron @miguel_prat dicen que tira pa, san Mateo ahora Jaaja 	NEU	es
768499472540241920	Nominada por @learamartell Aquí van nuestras pelis y nuestros taggeados.  https://t.co/hWqxW19Rjr	NEU	es
768576032282673152	@Monysito pues pocas cosas más bonitas puedes ver en la vida oye 	P	es
770887977769766912	"@policia. ""Precaución amigo conductor que la senda es peligrosa...."". Lo importante es llegar. "	NEU	es
768018934385807360	Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará 	NEU	es
769645693090889728	Hola estoy que reviento por haberme comido un box de kebab ayudadme a morir gracias 	N	es
769599335092944896	¿lo más gracioso? que si no defiendes/apoyas/eres activista del feminismo pues ya eres un machista opresor 	N	es
769868859406950401	@AraMalikian Lo hemos pasado en grande con las 4 estaciones. Una auténtica gozada para toda la familia 	P	es
768510568642842628	@LibrosdeMaria no sé si hubo más gente, pero ayer te tagueé yo  ayy, Hannibal es que moooooola tanto!	P	es
770035400220012544	@rabiekhd jajajajajaja me meo que yo tengo mi novio y él tiene su novia y estamos los dos contentos 	P	es
767700081353064448	@Betvs_19 cucha, una independentista escribiendo en español!! Por muy del Barça que soy, te vas a buscar la vida  grassias.	N	es
767725883432009728	Esta tarde me voy a comprar un juego que estuve esperando muchísimo tiempo... posiblemente lo suba esta tarde-noche  Yoshi aparece 	P	es
768547351443169284	@Tidxs_ 27. Parece que las cosas no te van muy bien, espero que todo mejore, que todo el mundo merece ser feliz 	NEU	es
768108422806069248	En fin @kenneos espero que recibas este tuit en otra realidad alternativa donde sigues viva porque ahí no se acaba tu camino  ¡suerte!	P	es
770188846793367553	"@TeoGarciaEgea @paconadal Esto es un mero ej. de lo complejos que son los ecosistemas y la eutrofiz. como para reducirlos a ""Hay + peces"" "	NEU	es
769876631041310720	yo esque los veranos curro, asi que no puedo quedar mucho  pero si algun dia te pasas avisa y vamos a full hd  @Sergiio_Moyaa	NEU	es
772781751127142400	@IvanMiguez_ LOL miguez tu eres guapo no le hagas ni caso no ves que es VASCA y alli NO SE FOLLA pero no es culpa tuya 	N	es
773963871413567488	siempre he sido honesta, clara, sin pelos en la lengua, nonpuedo estar más orgullosa de lo que soy y de la persona en la que me convertí 	P	es
772088536048820225	Hoy me he tenido que lavar el pelo en un cubo de agua porque no se que le ha pasado a la caldera pero no salía agua caliente 	NEU	es
773000337972133888	No soy capaz de dormir 	N	es
771434955733884930	@LleonardPler ¡Ya ves! Eso es fundamental 	NEU	es
767756240034361345	@EduEmoEsc muchas gracias por seguirme. Nos leemos 	P	es
769695740981641217	@SuperPaperEnder Lo habrías hecho con o sin mí 	NEU	es
770380678886285312	@antobosca ah vale, jo Boski yo quería jugar contigo 	NEU	es
767727445663424512	WORK FROM HOME!! Sería espectacular y poder verlas más!  #ConMTVal727Tour	P	es
768504713650241536	Ya me está jodiendo la tarde Pep...bueno me.voy a dar un.paseo 	N	es
768508856301457408	@Lahierritos pues sabran més q jo *curso CCC de mirones y mironas 	N	es
769965623615037479	@pichyniboss te queda bien tio! Espero que esteis todos pasando un buen verano 	P	es
768063661541851137	@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres 	N	es
769961235186155521	Plan perfecto para terminar el fin de semana. @AthleticClub - @FCBarcelona_es. Después @VillarrealCF - @SevillaFC 	P	es
769598638007939072	@saez_cristina @muyinteresante @Fairphone Genial ! Está genial que la gente conozca un poco más estas alternativas 	P	es
769623178666733568	Nunca he tenido esta sensacion, ¿me la harías sentir? Es muy importante para mí Blas @BlasAuryn  #followspree	NEU	es
768526478720065536	#Otegi inhabilitado #EsLaSentencia Mujeres tapadas hasta los ojos #EsSuCultura Teneis un sentido inamovible del mundo y de la vida.	N	es
770042393433403393	@Juanjok Mira q me gustaría, Juan, hablar contigo con emoticonos, pero está visto que ntros móviles no son compatibles! 	NEU	es
768100750316695552	@Ana_d_Armas Tú tan bella y con estilo como siempre! Te mereces siempre lo mejor!! Eres maravillosa!! Besitos y feliz día! 	P	es
767725615751593984	Qué depresión me entra, de seguro gana gente que solo dio RT porque sí, por probar suerte y no verdaderos fans 	N	es
768531597482156032	@Tidxs_ 2. Hace mucho tiempo hablabamos por skype por un amigo en común y estaba guay, además de que eres muy mona! 	P	es
768030924500000768	@Gabi_Herranz @KNekro yo se lo dije 10 veces ya, pero el me sigue teniendo ese pequeño odio... es comprensible, siempre le caere mal 	N	es
770235663946018817	He capturado mi primer gimnasio en el Pokemon Go. Cierto es que es probable que no tarden ni 10 minutos en quitarmelo. Pero mola 	P	es
770957114273624065	@FemiHard_ Hmm no sé qué decirte, mientras no dejes la jaula abierta no pasa nada  Pero se recomienda que salgan un ratito al día +	NEU	es
772797612994990080	Creo que cuando llegue al penúltimo capítulo de la serie y lo termine no voy a querer ver el último porque no quiero que se acabe 	N	es
774012105607503872	@ErickGuize si claro. Lo que voy a hacer ahora para que me entiendas, te lo voy a escribir en francés  vas a aprender tambien mi idioma 	N	es
772070326222065664	Buenas! Hoy a las 17h dije ayer que había directo pero se pasa a las 21h por el directo de la LCE en el que estaré Subiré un recordatorio	NEU	es
772912307328409601	@CarolinaFTAM jo,es que es mortal 	NEU	es
771550679965896704	Pero si eres mi pelado  @Slammactivao	NEU	es
767756025579577344	Me recomendais alguna silla gaming buena please 	NEU	es
769926491056566274	@gemacorga podéis pasar gratis para la siguiente temporada 	P	es
770069393464299521	@ZoeStrange es que Nacho está haciendo una cadena graciosa 	P	es
767731763766525952	@DiegoPajaron @miguel_prat doble sub-campeón de Europa  algo es algo jaja	P	es
768595094958145536	@_tontonina porque somos de Móstoles, salir de nuestro ambiente es difícil 	N	es
768568980000874496	@CrususMusus_ me lo apunto en la lista de cosas posibles de hacer 	NEU	es
771432130886901760	@llillitto @CarreraCSIC @TrofeoJose_Cano @correporsiria @mediodemadrid @MitinAtletismo @nortevssur1 gracias  me lo paso genial haciéndolo!	P	es
768074230541975553	@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!! 	P	es
769642483869446144	@FrayJosepho @Hienosdeorgullo @Capt_E_Navarre Más bien imposible. A no ser q se convierta al Islam, claro 	NEU	es
769598400572624896	@ciberchenet Porque nunca nos toca un arbitro bueno? Hay alguno que sea bueno para el Valencia? 	N	es
771377812053819392	Que dificil es retomar los estudios despues de dos meses sin tocar un libro.. #pereza #ganascero #septiembre=examen 	N	es
768594172240592896	@sweetbiix pues ahí lo tienes. Si tú no huyes entonces eres una luchadora y no una cobarde no? 	P	es
770068054688620544	@jose97angel ay, ayer cuando lo publicaron y lo vi me entró un sentimiento más grande por dentro...   	NEU	es
767843914359373824	Los canales de Latinoamérica como Andrés Navy, Extraordinerd o The Top Comics tampoco están nada mal, hay muy buen material 	P	es
767730342723743744	lo mejor es que son conversaciones normales y corrientes sin ningún ánimo de ligar pero  simplemente porque no se ligar 	NEU	es
768533681023639557	Pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche 	P	es
767842807629377539	@doctorgaona Es intrigante la autoexploración de los estados de consciencia a través de un espejo, de la mano de un pionero como Gaona 	P	es
770240922361663488	Me hubiera encantado contaros el martirio de san Juan Bautista, que es como de peli. Con Herodes, Salomé...pero no me ha dado la vida 	N	es
771024597978345473	@arivero la web que tenías para ver los pokemon que veian tus rastreadores ya no funciona? Que llevo dos días entrando y ya no va 	N	es
772923565536604160	@Cris_Potterhead de verdad, ya sé que no nos hemos visto en persona, pero q si te quedas más tranquila, yo voy contigo un día de estos 	NEU	es
774705969955794944	Mi gafe va en aumento, hice un all in a favor del Farsa por que el 17'4 que daban con la victoria del Alavés no me convencía 	N	es
772069487038308352	@lamolonaa siii ya la he escuchado y me gusta un montón pero por tu culpa ya no puedo tomármela en serio y la veo siempre con un paraguas 	N	es
772297057788801024	@KOPURISTA Algo estoy haciendo mal 	N	es
772938399426703361	@fevafer tio no me lo recuerdes 	N	es
768090654689853441	que te echo de menos cosa chicaa! https://t.co/9QIk0GIVzO	N	es
770010128720486400	@ignatiareilly una oleada de cosas homófobas días anteriores 	N	es
770276839885529088	@lour_14 @CelopanYT Ojalá, aunque la posibilidad es tan pequeña 	NEU	es
767731358739402752	@LuisFBonilla @isabelsevilla9 @adirecto @peichsantana Ole los buenos almerienses!!!! Mil besitos!!!! 	P	es
768497936351232002	lo malo es que faltaba su mid y acabaron haciendo remake 	N	es
768571999690031104	@mafolu2 no creas. Pero me gusta tener a la gente engañada  @GranCTimes	P	es
768228346232729603	@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor 	N	es
768557081561591808	@_betterton @juanrallo para cometer atentados terroristas (2) No creo que entonces existiera el burkini 	NEU	es
769829491246071808	Como dice @quique_gonzalez , se escapa otro verano en un furgón blindado @salaBBK #Bilbao #QuiqueGonzález https://t.co/WeaevYCT2L	N	es
772872089489539072	@pasapalabraT5 @RaquelBielsa @_fraanb_ Gracias, lo único que me hace feliz es escuchar música, adivinar y ganar 	P	es
771457906516566016	@ClaudioSensasao @MsRose_84 @geraldine_balme ¡Cada vez sois más! Las risas están aseguradas entonces. Mañana preguntamos, dadlo por hecho 	P	es
768491722116587520	@beautyblog_es @isasaweis @_ANAMILAN_ ohhhhh eso tiene que ser muy divertido  me imagino que los hombres están vetados no?	P	es
770400044830851072	@montse_garcia  habrá que acompañar la temporada seguramente exitosa de James con un recordatorio frecuente a tu descomunal trabajo 	P	es
767843737913401344	Hoy es el cumpleaños de lo más molón de La Hoya ¡Felicitad todos a la bonica y maja de @IrlesEva! 	P	es
768099860717432832	@cigotenks Me apiado de ti, yo me entero de que existen porque tú los encuentras. O sea, alguien los lee primero 	N	es
767536972952928256	"Había un hombre en la calle. Estornudó y yo desde la ventana le he dicho ""salud"" Me miró mal y siguió caminando "	N	es
767844691073232896	@chiscoyo hombre!  Yo siempre y con la gente que me cae bien claro, con los que me caen mal ni agua  Muacc	NEU	es
770268393312284672	@judithgoan porque por no cargarlo con un cable oficial me he cargado la bat y el nuevo que me llega mañana es de sony 	N	es
770033138819104768	@_ArtificialRed_ gracias tocaya  Pero.. es que es verdad da rabia.. ni un extremo ni otro, si hay machismo voy a ser la primera que va..	N	es
772952864964677633	Ojala no me diese miedo aprender a usar a aurelion y tener malas partidas con el Pero me pongo tan sad cuando lo hago mal que 	N	es
774675931612971008	@SraVegeta yaa, pero lo malo es que hay tanta gente que puff. Pero aún así joder que pagas un pastón por estar dos minutos  No da tiempo!	N	es
772004263681789952	Este año ha sido el que mejor me he llevado con mi hermano sin duda y se va en nada y voy a llorar y no quiero ser hija única y 	N	es
771391155925811205	clrealy no es una indirecta 	NEU	es
771692441611145217	@iChuso Que ya ha empezado tio 	NEU	es
767966350824312832	@michellecrecida y las galletas? Buenos días Michelle 	NEU	es
770091323961532417	Qué pobre soy no puedo ver los VMA 	N	es
769974581994131457	Yo solo quiero a alguien que odie A7x conmigo 	NEU	es
768117343599812608	@AndreaNavedo Hola bella Andrea!! Qué tengas un maravilloso día!! Besitos! 	P	es
768516996514377729	Silvia pesada deja de dar rt que me sale doble notificación 	N	es
768470471616659456	@JuakyB me quedo tranquilo entonces, pero iré mirando la opción del coche 	P	es
768057277865717761	Confirmao tengo el pie roto, he notado como el puto hueso se movía 	N	es
768511417846730753	@xqwcrp @xoancarV Un lapsus advertido gracias a @Cascarelo y subsanado. Gracias por tu aportación. 	P	es
769580253459148800	@Idolsftdjom @_jesus_OM @DanieloviedoM obviamente tia JAJAJAJAJA q soy la mayor  osqqqqq pero venir ya ofu	NEU	es
768055768700575744	@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt 	P	es
